CommandType,Delete,Level,Board,Hand,Time1,Time2,Seat,Text1,Text2,Text3,Value1,Value2,Value3
GTO-W,,22,[3d7d4sKhKs],2310628089084202107,2025-11-28 22:43:33.450,2025-11-28 22:43:35.775,3,OVERBET,CHECK,,84%,16%,
GTO-W,,22,[3d7d4sKhKs],2310628089084202107,2025-11-28 22:43:35.824,2025-11-28 22:43:43.260,4,CHECK,,,100%,,
GTO-W,,22,[3d7d4sKhKs],2310628089084202107,2025-11-28 22:43:43.330,2025-11-28 22:43:46.010,3,BET_LARGE,CHECK,,88%,12%,
GTO-W,,22,[3d7d4sKhKs],2310628089084202107,2025-11-28 22:43:46.055,2025-11-28 22:43:56.633,4,CHECK,,,100%,,
GTO-W,,22,[3d7d4sKhKs],2310628089084202107,2025-11-28 22:43:56.677,2025-11-28 22:44:00.727,3,BET_SMALL,CHECK,,59%,41%,
GTO-W,,22,[3d7d4sKhKs],2310628089084202107,2025-11-28 22:44:00.751,2025-11-28 22:44:14.116,4,CALL,,,100%,,
GTO-W,1,22,[4c5d4h],2310628089084202244,2025-11-28 22:47:00.001,2025-11-28 22:47:05.691,7,CHECK,,,100%,,
GTO-W,1,22,[4c5d4h],2310628089084202244,2025-11-28 22:47:05.736,2025-11-28 22:47:18.542,4,BET_SMALL,BET_ALLIN,,91%,9%,
GTO-W,1,22,[4c5d4h],2310628089084202244,2025-11-28 22:47:18.552,2025-11-28 22:47:24.699,7,FOLD,,,100%,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:26.527,,-1,4,"4,7",,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:29.137,,0,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:35.412,,1,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:35.706,,2,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:39.650,,3,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:44.860,,4,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:49.679,,5,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:49.995,,6,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:46:59.966,,7,,,,,,
MysteryHand,,22,[4c5d4h],2310628089084202244,2025-11-28 22:47:28.089,,99,,,,,,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:53:47.139,2025-11-28 22:53:48.893,6,CHECK,,,100%,,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:53:48.942,2025-11-28 22:54:00.112,5,BET_SMALL,,,100%,,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:54:00.129,2025-11-28 22:54:06.234,6,FOLD,,,100%,,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:54:06.280,2025-11-28 22:54:07.780,6,CHECK,,,100%,,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:54:07.840,2025-11-28 22:54:21.599,5,BET_MID,CHECK,,63%,37%,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:54:21.635,2025-11-28 22:54:32.728,6,BET_MID,BET_ALLIN,,70%,30%,
GTO-W,,23,[2sKhQh2h9h],2310628089084202478,2025-11-28 22:54:32.768,2025-11-28 22:54:34.630,5,CHECK,,,100%,,
